stateName,stateCode,district,name,officeName,officeAddress,phone,fax
Alabama,AL,1,Bradley Byrne,"Washington, D.C. Office","119 Cannon House Office Building, Washington, DC 20515",2022254931,2022250562
Alabama,AL,1,Bradley Byrne,Baldwin County Office,"502 West Lee Avenue, Summerdale, AL 36580",2519892664,
Alabama,AL,1,Bradley Byrne,Mobile Office,"11 N. Water St. Ste. 15290, Mobile, AL 36602",2516902811,
Alabama,AL,2,Martha Roby,"Washington, D.C. Office","442 Cannon HOB, Washington, DC 20515",2022252901,2022258913
Alabama,AL,2,Martha Roby,Andalusia Office,"City Hall - 505 E. Three Notch Street #322, Andalusia, AL 36420",3344281129,3342223342
Alabama,AL,2,Martha Roby,Dothan Office,"217 Graceland Drive, Suite 5, Dothan, AL 36305",3347949680,3346711480
Alabama,AL,2,Martha Roby,Montgomery Office,"401 Adams Avenue, Suite 160, Montgomery, AL 36104",3342627718,3342628758
Alabama,AL,3,Mike Rogers,"Washington, D.C. Office","324 Cannon House Office Building, Washington, DC 20515",2022253261,2022268485
Alabama,AL,3,Mike Rogers,Anniston Office,"1129 Noble St # 104, Anniston, AL 36201",2562365655,2562379203
Alabama,AL,3,Mike Rogers,Opelika Office,"701 Avenue A, Suite 300, G.W. Andrews Federal Building, Opelika, AL 36801",3347456221,3347420109
Alabama,AL,4,Robert Aderholt,"Washington, D.C. Office","235 Cannon House Office Building, Washington, DC 20515",2022254876,
Alabama,AL,4,Robert Aderholt,Cullman Office,"205 4th Ave NE #104, Cullman, AL 35055",2567346043,
Alabama,AL,4,Robert Aderholt,Gadsden Office,"600 Broad St # 107, Gadsden, AL 35901",2565460201,
Alabama,AL,4,Robert Aderholt,Jasper Office,"1710 Alabama Ave # 247, Jasper, AL 35501",2052212310,
Alabama,AL,4,Robert Aderholt,Tuscumbia Office,"Morgan County Courthouse, 302 Lee St NE, Decatur, AL 35601",2563813450,
Alabama,AL,5,Mo Brooks,"Washington, D.C. Office","1230 Longworth HOB, Washington, DC 20515",2022254801,2022254392
Alabama,AL,5,Mo Brooks,Decatur Office,"302 Lee Street, Room 86, Decatur, AL 35601",2563559400,2563559406
Alabama,AL,5,Mo Brooks,Huntsville Office,"2101 W. Clinton Avenue, Suite 302, Huntsville, AL 35805",2565510190,2565510194
Alabama,AL,5,Mo Brooks,Shoals Office,"102 South Court Street, Suite 310, Florence, AL 35630",2567185155,2567185156
Alabama,AL,6,Gary Palmer,"Washington, D.C. Office","206 Cannon House Office Building, Washington, DC 20515",2022254921,2022252082
Alabama,AL,6,Gary Palmer,Birmingham Office,"3535 Grandview Parkway, Suite 525, Birmingham, AL 35243",2059681290,2059681294
Alabama,AL,6,Gary Palmer,Clanton Office,"703 2nd Avenue North, Box 502, Clanton, AL 35045",2052806846,
Alabama,AL,6,Gary Palmer,Oneonta Office,"Oneonta City Hall, 202 3rd Avenue, Oneonta, AL 35121",2052742136,
Alabama,AL,7,Terri A. Sewell,"Washington, D.C. Office","1133 Longworth HOB, Washington, DC 20515",2022252665,2022269567
Alabama,AL,7,Terri A. Sewell,Birmingham Office,"Two 20th Street North, Suite 1130, Birmingham, AL 35203",2052541960,2052541974
Alabama,AL,7,Terri A. Sewell,Montgomery Office,"101 South Lawrence Street, Montgomery, AL 36104",3342621919,3342621921
Alabama,AL,7,Terri A. Sewell,Selma Office,"908 Alabama Ave, Federal Bldg, Suite 112, Selma, AL 36701",3348774414,3348774489
Alabama,AL,7,Terri A. Sewell,Tuscaloosa Office,"2501 7th Street, Suite 300, Tuscaloosa, AL 35401",2057525380,2057525899
Alaska,AK,0,Don Young,"Washington, D.C. Office","2314 Rayburn House Office Building, Washington, DC 20515 ",2022255765,2022250425
Alaska,AK,0,Don Young,Anchorage District Office,"4241 B Street, Suite 203, Anchorage, AK 99503",9072715978,9072715950
Alaska,AK,0,Don Young,Fairbanks Field Office,"100 Cushman St. Suite 307, Key Bank Building, Fairbanks, AK 99707 ",9074560210,9074560279
American Samoa,AS,0,Amata Radewagen,"Washington, D.C. Office","1339 Longworth House Office Building, Washington, DC 20515",2022258577,2022258757
American Samoa,AS,0,Amata Radewagen,American Samoa Office,"PO Box 5859, Pago Pago, AS 96799",6846333601,6846333607
Arizona,AZ,1,Tom O'Halleran,"Washington, D.C. Office","126 Cannon House Office Building, Washington, DC 20515",2022253361,
Arizona,AZ,1,Tom O'Halleran,Casa Grande Office,"211 N. Florence Street, Suite 1, Casa Grande, AZ 85122",5203160839,
Arizona,AZ,1,Tom O'Halleran,Flagstaff Office,"405 N. Beaver Street, Suite 6, Flagstaff, AZ 86001",9282108165,
Arizona,AZ,2,Martha McSally,"Washington, D.C. Office","1029 Longworth House Office Building, Washington, DC 20515",2022252542,2022250378
Arizona,AZ,2,Martha McSally,Sierra Vista Office,"77 Calle Portal, Suite B-160, Sierra Vista, AZ 85635",5204593115,
Arizona,AZ,2,Martha McSally,Tucson Office,"4400 E. Broadway Blvd, Suite 510, Tucson, AZ 85711",5208813588,
Arizona,AZ,3,Raul Grijalva,"Washington, D.C. Office","1511 Longworth HOB, Washington, DC 20515",2022252435,2022251541
Arizona,AZ,3,Raul Grijalva,Avondale Office,"1412 N Central Ave, Suite B, Avondale, AZ 85323",6235363388,6235357479
Arizona,AZ,3,Raul Grijalva,Somerton Office,"PO Box 4105, Somerton, AZ 85350",9283437933,9283437949
Arizona,AZ,3,Raul Grijalva,Tucson Office,"738 N 5th Ave. Suite 110, Tucson, AZ 85705",5206226788,5206220198
Arizona,AZ,4,Paul A. Gosar,"Washington, D.C. Office","504 Cannon HOB, Washington, DC 20515",2022252315,
Arizona,AZ,4,Paul A. Gosar,Gold Canyon Office,"6499 S. Kings Ranch Road, #4, Gold Canyon, AZ 85118",4808822697,
Arizona,AZ,4,Paul A. Gosar,Kingman Office,"220 N. 4th Street, Kingman, Arizona 86401",,
Arizona,AZ,4,Paul A. Gosar,Prescott Office,"122 N. Cortez Street, Suite 104, Prescott, AZ 86301 ",9284451683,
Arizona,AZ,5,Andy Biggs,"Washington, DC Office","1626 Longworth House Office Building, Washington, DC 20515",2022252635,
Arizona,AZ,5,Andy Biggs,Mesa Office,"2509 S Power Rd, Suite 205, Mesa, AZ 85209",4806998239,
Arizona,AZ,6,David Schweikert,"Washington, D.C. Office","409 Cannon HOB, Washington, D.C. 20515",2022252190,2022250096
Arizona,AZ,6,David Schweikert,Scottsdale Office,"10603 North Hayden Rd., Ste. 108, Scottsdale, AZ 85260",4809462411,4809462446
Arizona,AZ,7,Ruben Gallego,"Washington, D.C. Office","1218 Longworth House Office Building, Washington, DC 20515",2022254065,
Arizona,AZ,7,Ruben Gallego,Phoenix Office,"411 N. Central Ave, Suite 150, Phoenix, AZ 85004",6022560551,6022579103
Arizona,AZ,8,Trent Franks,"Washington, D.C. Office","2435 Rayburn HOB, Washington, DC 20515",2022254576,2022256328
Arizona,AZ,8,Trent Franks,Glendale Office,"7121 West Bell Road, Suite 200, Glendale, AZ 85308",6237767911,6237767832
Arizona,AZ,9,Krysten Sinema,"Washington, D.C. Office","1530 Longworth House Office Building, Washington, DC 20515",2022259888,2022259731
Arizona,AZ,9,Krysten Sinema,Phoenix Office,"2944 N. 44th Street, Suite 150, Phoenix, AZ 85018",6029562285,6029562468
Arkansas,AR,1,Rick Crawford,"Washington, D.C. Office","1711 Longworth HOB, Washington, DC 20515",2022254076,2022255602
Arkansas,AR,1,Rick Crawford,Jonesboro Office,"2400 Highland Drive, Suite 300, Jonesboro, AR 72401",8702030540,8702030542
Arkansas,AR,1,Rick Crawford,Cabot Office,"112 S. 1st, Cabot, AR 72023",5018433043,5018434955
Arkansas,AR,1,Rick Crawford,Mountain Home Office,"1001 Highway 62 E, Suite 9, Mountain Home, AR 72653",8704242075,8704243149
Arkansas,AR,2,French Hill,"Washington, D.C. Office","1229 Longworth House Office Building, Washington, DC 20515",2022252506,2022255903
